Date,AMZN-Close/Last,AMZN-Volume,AMZN-Open,AMZN-High,AMZN-Low,AAL-Close/Last,AAL-Volume,AAL-Open,AAL-High,AAL-Low,MAR-Close/Last,MAR-Volume,MAR-Open,MAR-High,MAR-Low,NFLX-Close/Last,NFLX-Volume,NFLX-Open,NFLX-High,NFLX-Low
06/05/2020,2483,3306445,2444.51,2488.645,2437.13,18.59,428617100,21.25,22.8,17.8,107.96,10069840,114.38,118.41,106.77,419.6,5099561,407.29,420.2392,404.25
06/04/2020,2460.6,2948710,2477.43,2507.54,2450.01,16.72,399432600,12.85,18.18,12.63,104.82,6777775,100.14,105.05,98.0806,414.33,5410529,422.39,428.71,410.03
06/03/2020,2478.4,2671024,2468.01,2488,2461.17,11.85,86685280,11.56,12.2,11.44,99.9,6136335,97.3,100.555,96.21,421.97,4316044,426.95,427.1,418.05
06/02/2020,2472.41,2529903,2467,2473.53,2445.31,11.22,49148570,11.4,11.64,10.9735,95.61,5470735,97.23,97.35,94.01,427.31,3494801,425.87,427.59,419.46
06/01/2020,2471.04,2938032,2448,2476.93,2444.17,11.11,50681600,10.79,11.33,10.62,95.03,5084212,89.73,95.64,89.3,425.92,3748573,418.83,426.72,415.98
05/29/2020,2442.37,3529329,2415.94,2442.37,2398.1973,10.5,59054710,10.48,10.87,10.32,88.5,5874442,91.21,91.75,88.1,419.73,5270484,417.46,420.295,411.85
05/28/2020,2401.1,3193136,2384.33,2436.9699,2378.23,10.98,70811410,11.78,11.83,10.9,91.64,5203029,97.61,97.92,91.53,413.44,5660160,417.24,422.3717,411.5
05/27/2020,2410.39,5056945,2404.99,2413.58,2330,11.98,99314750,12.43,12.55,11.07,97.96,5392025,98.64,98.977,94.77,419.89,10446340,410.38,420.02,397.86
05/26/2020,2421.86,3568153,2458,2462,2414.06,11.14,101717000,10.27,11.28,10.25,94.92,6258418,97.885,97.93,94.55,414.77,7881115,427.77,428.5,413.14
05/22/2020,2436.88,2867079,2455.01,2469.85,2430.13,9.7,37596760,10.02,10.12,9.63,91.05,2259710,92.18,92.25,89.52,429.32,5422334,437,439.09,427.18
05/21/2020,2446.74,5114403,2500,2525.45,2442.54,9.89,45785720,9.87,10.15,9.83,91.35,3009033,91.97,93.11,90.27,436.25,9117325,448.56,448.96,430.25
05/20/2020,2497.94,3998143,2477.87,2500.01,2467.27,9.87,44006730,9.91,10.14,9.77,92.68,4265676,92.36,92.98,90.27,447.67,5607257,454.25,455.81,444
05/19/2020,2449.33,4320498,2429.83,2484.995,2428.97,9.64,62242480,10.14,10.19,9.59,90.67,7090296,92.27,94.84,89.16,451.04,4810487,453.397,458.97,450.465
05/18/2020,2426.26,4366572,2404.346,2433,2384.01,9.87,76624410,9.62,9.94,9.36,93.62,11012240,85.06,93.9,84.865,452.58,7780309,451.16,456.36,443.35
05/15/2020,2409.78,4234951,2368.52,2411,2356.37,9.04,39560530,8.85,9.36,8.76,79.76,6526946,78.47,79.908,77.36,454.19,7243998,440.7,455,437.51
